Name,Mac Address
C-ATRIUM-1.d211.org,186472c72344
C-ATRIUM-2.d211.org,186472c722ba
C-ATRIUM-2N.d211.org,186472c77bba
C-ATRIUM-2S.d211.org,186472c72350
C-ATRIUM-N.d211.org,186472c7f066
C-ATRIUM-S.d211.org,186472c7f182
C-AUD-A1.d211.org,186472c7f0cc
C-AUD-A10.d211.org,186472c7f180
C-AUD-A2.d211.org,186472c7ee8a
C-AUD-A3.d211.org,186472c7f094
C-AUD-A4.d211.org,186472c7f1a2
C-AUD-A5.d211.org,186472c7f1e8
C-AUD-A6.d211.org,186472c7f1de
C-AUD-A7.d211.org,186472c71966
C-AUD-A8.d211.org,186472c71970
C-AUD-A9.d211.org,186472c7f20a
C-AUD-BACKSTAGE-CAGE.d211.org,186472c7d2f2
C-AUD-EXT-STAIRWELL.d211.org,186472c7ee6c
C-AUD-MENSROOM.d211.org,186472c77de4
C-AUD-SEC-A.d211.org,186472c77d50
C-AUD-SEC-C.d211.org,186472c77d16
C-AUDS.d211.org,186472c77958
C-AVCOMPUTERLAB.d211.org,186472c7f20e
C-CAFE -2.d211.org,186472c7ef42
C-CAFE-1.d211.org,186472c7f0a0
C-CAFE-3.d211.org,186472c7f04e
C-CAFE-5.d211.org,186472c7f1a0
C-CAFE-KITCHEN.d211.org,186472c7f1f2
C-COFFEESHOP.d211.org,186472c74fcc
C-FCSOFF.d211.org,186472c7f0b6
C-GYMSHELF.d211.org,186472c77dda
C-H-112 Mens Room.d211.org,186472c7f1a8
C-H-112.d211.org,186472c7f0be
C-H-116.d211.org,186472c791d8
C-H-124.d211.org,186472c74e3e
C-H-168.d211.org,186472c77cd0
C-H-170.d211.org,186472c74ee2
C-H-179B.d211.org,186472c792ce
C-H-180.d211.org,186472c7f210
C-H-185.d211.org,186472c793a4
C-H-186.d211.org,186472c7d2e2
C-H-204.d211.org,186472c74eaa
C-H-208.d211.org,186472c77dba
C-H-212.d211.org,186472c7f1e2
C-H-214A.d211.org,186472c77d44
C-H-214C.d211.org,186472c77df8
C-H-218.d211.org,186472c7f19c
C-H-223.d211.org,186472c7f1f8
C-H-225.d211.org,186472c77d9c
C-H-227.d211.org,186472c7ef46
C-H-230.d211.org,186472c7f14a
C-H-231.d211.org,186472c7227a
C-H-234.d211.org,186472c722e6
C-H-243.d211.org,186472c77c9a
C-H-247.d211.org,186472c77d96
C-H-280.d211.org,186472c79132
C-H-283.d211.org,186472c77b96
C-H-ARTSTAIRS.d211.org,186472c7230a
C-H-ASSISTPRINCIPAL.d211.org,186472c789a0
C-H-AUD-1.d211.org,186472c77bb4
C-H-AUD-2.d211.org,186472c77b94
C-H-BLOCKERRM.d211.org,186472c791e4
C-H-DOOR1.d211.org,186472c7ef8a
C-H-DOOR25ENTRY.d211.org,186472c7d2f8
C-H-EQUIPRM.d211.org,186472c7d2a4
C-H-FRNTOFFLOUNGE.d211.org,186472c7cff4
C-H-IDFE-ATRIUM/SCIENCE HALL.d211.org,186472c7d2fc
C-H-IDFF-STAIRWELL NW.d211.org,186472c7f166
C-H-MATHOFF HALL.d211.org,186472c7eb1c
C-H-MEDIA-ENTRANCE.d211.org,186472c7f19e
C-H-SCI-RAMP1.d211.org,186472c7f1c6
C-H-SCI-RAMP2.d211.org,186472ccc9a8
C-H-STATE&MADISON.d211.org,186472c7f1a4
C-H-STUDNTSRVCES.d211.org,186472c7cd46
C-IDFA.d211.org,186472c7efaa
C-IDFB.d211.org,186472ccc980
C-IDFC.d211.org,186472c7d2fa
C-IDFD-WOODS.d211.org,186472c7eb56
C-IDFE-MR1ST FLOOR.d211.org,186472c718ce
C-IDFE.d211.org,186472c77d38
C-IDFF-MR.d211.org,186472c7f1b2
